Dim1,Dim2,ModelLabel,UniqueLabel
-3.7323356,65.151245,base_kras_caf,base_kras_caf_0
-0.5354729,64.118546,base_kras_caf,base_kras_caf_1
-5.4263253,64.735306,base_kras_caf,base_kras_caf_2
-2.2482877,64.74517,base_kras_caf,base_kras_caf_3
-3.7455378,60.801994,base_kras_caf,base_kras_caf_4
-3.1094356,64.37926,base_kras_caf,base_kras_caf_5
-3.256522,63.65006,base_kras_caf,base_kras_caf_6
-1.2873491,64.88523,base_kras_caf,base_kras_caf_7
-3.5810893,63.626163,base_kras_caf,base_kras_caf_8
-3.2161045,64.28125,base_kras_caf,base_kras_caf_9
-2.1561377,64.58701,base_kras_caf,base_kras_caf_10
-3.3604543,64.373314,base_kras_caf,base_kras_caf_11
-2.8903973,64.15416,base_kras_caf,base_kras_caf_12
-3.386935,63.504967,base_kras_caf,base_kras_caf_13
-4.309612,61.82192,base_kras_caf,base_kras_caf_14
-4.4588804,64.03047,base_kras_caf,base_kras_caf_15
-1.7302665,64.55104,base_kras_caf,base_kras_caf_16
-2.534387,64.36129,base_kras_caf,base_kras_caf_17
0.09709235,65.30838,base_kras_caf,base_kras_caf_18
-2.0852385,66.178635,base_kras_caf,base_kras_caf_19
-4.278205,63.52666,base_kras_caf,base_kras_caf_20
-2.0690396,64.2122,base_kras_caf,base_kras_caf_21
-1.2602696,65.540085,base_kras_caf,base_kras_caf_22
-0.58167404,65.192055,base_kras_caf,base_kras_caf_23
-2.7190065,64.25805,base_kras_caf,base_kras_caf_24
-2.371391,63.593803,base_kras_caf,base_kras_caf_25
-3.3573592,60.745842,base_kras_caf,base_kras_caf_26
-1.4566517,65.295334,base_kras_caf,base_kras_caf_27
-4.152811,61.88019,base_kras_caf,base_kras_caf_28
-2.6298785,65.21402,base_kras_caf,base_kras_caf_29
-5.353444,63.729527,base_kras_caf,base_kras_caf_30
-1.3092223,65.139824,base_kras_caf,base_kras_caf_31
-4.526008,64.387764,base_kras_caf,base_kras_caf_32
-2.601949,66.20223,base_kras_caf,base_kras_caf_33
-3.6967728,63.80226,base_kras_caf,base_kras_caf_34
-1.2051175,66.78781,base_kras_caf,base_kras_caf_35
-1.7759405,67.01644,base_kras_caf,base_kras_caf_36
-2.5162601,64.70544,base_kras_caf,base_kras_caf_37
-3.3188858,64.55477,base_kras_caf,base_kras_caf_38
-1.6199312,66.123276,base_kras_caf,base_kras_caf_39
-3.293176,63.910957,base_kras_caf,base_kras_caf_40
-1.0979613,65.80301,base_kras_caf,base_kras_caf_41
-1.6169243,64.45063,base_kras_caf,base_kras_caf_42
-4.5946836,65.70949,base_kras_caf,base_kras_caf_43
-3.0619142,64.82019,base_kras_caf,base_kras_caf_44
-1.0998996,66.03318,base_kras_caf,base_kras_caf_45
-2.771916,65.61918,base_kras_caf,base_kras_caf_46
-2.7369478,64.268486,base_kras_caf,base_kras_caf_47
-3.618071,65.58061,base_kras_caf,base_kras_caf_48
-2.6414316,64.9127,base_kras_caf,base_kras_caf_49
-1.9217389,64.85423,base_kras_caf,base_kras_caf_50
-2.7695093,66.587875,base_kras_caf,base_kras_caf_51
-3.2380428,65.03539,base_kras_caf,base_kras_caf_52
-4.723804,62.145065,base_kras_caf,base_kras_caf_53
-4.834356,63.97857,base_kras_caf,base_kras_caf_54
-3.243326,64.13916,base_kras_caf,base_kras_caf_55
-4.6510396,63.157207,base_kras_caf,base_kras_caf_56
-2.9223547,64.038956,base_kras_caf,base_kras_caf_57
-4.619949,65.12013,base_kras_caf,base_kras_caf_58
-4.1973696,63.86835,base_kras_caf,base_kras_caf_59
-4.1843796,66.148315,base_kras_caf,base_kras_caf_60
-4.4508862,64.44578,base_kras_caf,base_kras_caf_61
-2.8683503,63.84776,base_kras_caf,base_kras_caf_62
-1.0629833,65.145744,base_kras_caf,base_kras_caf_63
-2.6967707,65.11447,base_kras_caf,base_kras_caf_64
-4.4976926,63.395992,base_kras_caf,base_kras_caf_65
-2.4868605,65.735596,base_kras_caf,base_kras_caf_66
-1.9738429,65.737045,base_kras_caf,base_kras_caf_67
-2.170148,66.24943,base_kras_caf,base_kras_caf_68
-3.7902076,64.79761,base_kras_caf,base_kras_caf_69
-3.188907,65.69638,base_kras_caf,base_kras_caf_70
-3.4405332,62.989594,base_kras_caf,base_kras_caf_71
-3.940829,65.43844,base_kras_caf,base_kras_caf_72
-4.591671,65.67922,base_kras_caf,base_kras_caf_73
-1.8383567,65.71697,base_kras_caf,base_kras_caf_74
-1.6838284,66.26435,base_kras_caf,base_kras_caf_75
-2.2833805,63.38394,base_kras_caf,base_kras_caf_76
-3.1426442,65.21743,base_kras_caf,base_kras_caf_77
-3.101285,65.226776,base_kras_caf,base_kras_caf_78
-2.4109018,65.7138,base_kras_caf,base_kras_caf_79
-0.91676706,65.626816,base_kras_caf,base_kras_caf_80
-2.6142871,65.69087,base_kras_caf,base_kras_caf_81
-3.4401875,65.87102,base_kras_caf,base_kras_caf_82
-0.9883078,66.41331,base_kras_caf,base_kras_caf_83
-3.318931,64.45838,base_kras_caf,base_kras_caf_84
-2.772693,64.21045,base_kras_caf,base_kras_caf_85
-1.4110839,65.299286,base_kras_caf,base_kras_caf_86
-2.4457238,63.971497,base_kras_caf,base_kras_caf_87
-3.2184694,65.080025,base_kras_caf,base_kras_caf_88
-1.9404869,65.84465,base_kras_caf,base_kras_caf_89
-1.1377865,66.55268,base_kras_caf,base_kras_caf_90
-2.870921,64.60596,base_kras_caf,base_kras_caf_91
-4.8121185,62.60879,base_kras_caf,base_kras_caf_92
-2.9358,65.04608,base_kras_caf,base_kras_caf_93
-1.3769666,65.31213,base_kras_caf,base_kras_caf_94
-2.4529793,62.30449,base_kras_caf,base_kras_caf_95
-1.8188117,64.30159,base_kras_caf,base_kras_caf_96
-2.4114242,64.6446,base_kras_caf,base_kras_caf_97
